pos,0,5,10,15,20,25,30,35,40,45,50
0,5.526213302,5.526213302,5.526213302,5.526213302,4.375567617,0,0,0,0,0,0
30,5.526213302,5.526213302,5.526213302,5.526213302,4.375567617,0,0,0,0,0,0
60,5.526213302,5.526213302,5.526213302,5.526213302,4.375567617,0,0,0,0,0,0
90,5.526213302,5.526213302,5.526213302,5.526213302,4.375567617,0,0,0,0,0,0
120,5.526213302,5.526213302,5.526213302,5.526213302,4.375567617,0,0,0,0,0,0
150,5.526213302,5.526213302,5.526213302,5.526213302,4.375567617,0,0,0,0,0,0
180,5.526213302,5.526213302,5.526213302,5.526213302,4.375567617,0,0,0,0,0,0
210,5.526213302,5.526213302,5.526213302,5.526213302,4.375567617,0,0,0,0,0,0
240,5.526213302,5.526213302,5.526213302,5.526213302,4.375567617,0,0,0,0,0,0
270,5.526213302,5.526213302,5.526213302,5.526213302,4.375567617,0,0,0,0,0,0
300,5.526213302,5.526213302,5.526213302,5.526213302,4.375567617,0,0,0,0,0,0
330,5.526213302,5.526213302,5.526213302,5.526213302,4.375567617,0,0,0,0,0,0
360,5.526213302,5.526213302,5.526213302,5.526213302,4.375567617,0,0,0,0,0,0
