pos,0,5,10,15,20,25,30,35,40,45,50
0,3.52556745,3.028877372,2.775611838,2.415670258,1.948120892,1.458989412,1.027424584,0.697766417,0.470832549,0.32381942,0.23095957
30,3.52556745,3.028877372,2.775611838,2.415670258,1.948120892,1.458989412,1.027424584,0.697766417,0.470832549,0.32381942,0.23095957
60,3.52556745,3.028877372,2.775611838,2.415670258,1.948120892,1.458989412,1.027424584,0.697766417,0.470832549,0.32381942,0.23095957
90,3.52556745,3.028877372,2.775611838,2.415670258,1.948120892,1.458989412,1.027424584,0.697766417,0.470832549,0.32381942,0.23095957
120,3.52556745,3.028877372,2.775611838,2.415670258,1.948120892,1.458989412,1.027424584,0.697766417,0.470832549,0.32381942,0.23095957
150,3.52556745,3.028877372,2.775611838,2.415670258,1.948120892,1.458989412,1.027424584,0.697766417,0.470832549,0.32381942,0.23095957
180,3.52556745,3.028877372,2.775611838,2.415670258,1.948120892,1.458989412,1.027424584,0.697766417,0.470832549,0.32381942,0.23095957
210,3.52556745,3.028877372,2.775611838,2.415670258,1.948120892,1.458989412,1.027424584,0.697766417,0.470832549,0.32381942,0.23095957
240,3.52556745,3.028877372,2.775611838,2.415670258,1.948120892,1.458989412,1.027424584,0.697766417,0.470832549,0.32381942,0.23095957
270,3.52556745,3.028877372,2.775611838,2.415670258,1.948120892,1.458989412,1.027424584,0.697766417,0.470832549,0.32381942,0.23095957
300,3.52556745,3.028877372,2.775611838,2.415670258,1.948120892,1.458989412,1.027424584,0.697766417,0.470832549,0.32381942,0.23095957
330,3.52556745,3.028877372,2.775611838,2.415670258,1.948120892,1.458989412,1.027424584,0.697766417,0.470832549,0.32381942,0.23095957
360,3.52556745,3.028877372,2.775611838,2.415670258,1.948120892,1.458989412,1.027424584,0.697766417,0.470832549,0.32381942,0.23095957
