pos,0,5,10,15,20,25,30,35,40,45,50
0,0.102686812,0.102185536,0.096495492,0.082566553,0.06567992,0.048585018,0.033872977,0.022788297,0.015163648,0.010169552,0.00695128
30,0.102686812,0.102185536,0.096495492,0.082566553,0.06567992,0.048585018,0.033872977,0.022788297,0.015163648,0.010169552,0.00695128
60,0.102686812,0.102185536,0.096495492,0.082566553,0.06567992,0.048585018,0.033872977,0.022788297,0.015163648,0.010169552,0.00695128
90,0.102686812,0.102185536,0.096495492,0.082566553,0.06567992,0.048585018,0.033872977,0.022788297,0.015163648,0.010169552,0.00695128
120,0.102686812,0.102185536,0.096495492,0.082566553,0.06567992,0.048585018,0.033872977,0.022788297,0.015163648,0.010169552,0.00695128
150,0.102686812,0.102185536,0.096495492,0.082566553,0.06567992,0.048585018,0.033872977,0.022788297,0.015163648,0.010169552,0.00695128
180,0.102686812,0.102185536,0.096495492,0.082566553,0.06567992,0.048585018,0.033872977,0.022788297,0.015163648,0.010169552,0.00695128
210,0.102686812,0.102185536,0.096495492,0.082566553,0.06567992,0.048585018,0.033872977,0.022788297,0.015163648,0.010169552,0.00695128
240,0.102686812,0.102185536,0.096495492,0.082566553,0.06567992,0.048585018,0.033872977,0.022788297,0.015163648,0.010169552,0.00695128
270,0.102686812,0.102185536,0.096495492,0.082566553,0.06567992,0.048585018,0.033872977,0.022788297,0.015163648,0.010169552,0.00695128
300,0.102686812,0.102185536,0.096495492,0.082566553,0.06567992,0.048585018,0.033872977,0.022788297,0.015163648,0.010169552,0.00695128
330,0.102686812,0.102185536,0.096495492,0.082566553,0.06567992,0.048585018,0.033872977,0.022788297,0.015163648,0.010169552,0.00695128
360,0.102686812,0.102185536,0.096495492,0.082566553,0.06567992,0.048585018,0.033872977,0.022788297,0.015163648,0.010169552,0.00695128
