pos,0,5,10,15,20,25,30,35,40,45,50
0,0.044302042,0.043612285,0.041614847,0.038514408,0.034616437,0.030277217,0.025845649,0.021611909,0.017776704,0.014446122,0.011646761
30,0.044302042,0.043612285,0.041614847,0.038514408,0.034616437,0.030277217,0.025845649,0.021611909,0.017776704,0.014446122,0.011646761
60,0.044302042,0.043612285,0.041614847,0.038514408,0.034616437,0.030277217,0.025845649,0.021611909,0.017776704,0.014446122,0.011646761
90,0.044302042,0.043612285,0.041614847,0.038514408,0.034616437,0.030277217,0.025845649,0.021611909,0.017776704,0.014446122,0.011646761
120,0.044302042,0.043612285,0.041614847,0.038514408,0.034616437,0.030277217,0.025845649,0.021611909,0.017776704,0.014446122,0.011646761
150,0.044302042,0.043612285,0.041614847,0.038514408,0.034616437,0.030277217,0.025845649,0.021611909,0.017776704,0.014446122,0.011646761
180,0.044302042,0.043612285,0.041614847,0.038514408,0.034616437,0.030277217,0.025845649,0.021611909,0.017776704,0.014446122,0.011646761
210,0.044302042,0.043612285,0.041614847,0.038514408,0.034616437,0.030277217,0.025845649,0.021611909,0.017776704,0.014446122,0.011646761
240,0.044302042,0.043612285,0.041614847,0.038514408,0.034616437,0.030277217,0.025845649,0.021611909,0.017776704,0.014446122,0.011646761
270,0.044302042,0.043612285,0.041614847,0.038514408,0.034616437,0.030277217,0.025845649,0.021611909,0.017776704,0.014446122,0.011646761
300,0.044302042,0.043612285,0.041614847,0.038514408,0.034616437,0.030277217,0.025845649,0.021611909,0.017776704,0.014446122,0.011646761
330,0.044302042,0.043612285,0.041614847,0.038514408,0.034616437,0.030277217,0.025845649,0.021611909,0.017776704,0.014446122,0.011646761
360,0.044302042,0.043612285,0.041614847,0.038514408,0.034616437,0.030277217,0.025845649,0.021611909,0.017776704,0.014446122,0.011646761
